ID,title,location,price,details,specifications
3UPD7YD,LINDA CASA DE 3 HABITACIONES – COLONIA LA CASCADA EN CALLE PRINCIPAL, Residencial Las Cascadas,"
                                       $ 270,000                                                                              ","['   Habitaciones3  ', '   Baños3.5  ', '  Área349.41 m2 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Estacionamiento 3  ']"
BK898R5,CASA EN VENTA DE 4 HABITACIONES EN LA CASCADA EN CALLE PRINCIPAL PARA VIVIENDA Y/O NEGOCIO, Residencial Las Cascadas,"
                                       $ 270,000                                                                              ","['   Habitaciones4  ', '   Baños4.5  ', '  Área349.41 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Estacionamiento 3  ']"
XECKAPM,CASA EN VENTA EN RESIDENCIAL LA CASCADA ESCOJA ACABADOS A SU GUSTO, Residencial Las Cascadas,"
                                       $ 205,025                                                                              ","['   Habitaciones4  ', '   Baños3.5  ', '  Área174 m2 ']","['  Amueblado No  ', '  Estacionamiento 2  ']"
SYUIDLY,"CASA GRANDE EN VENTA - APTA PARA HOTEL BOUTIQUE, CIRCUITO CERRADO VISTA PANORAMICA", Residencial Las Cascadas,"
                                       $ 1,000,000                                                                              ","['   Habitaciones7  ', '   Baños6+  ', '  Área1200 v2 de terreno m2 ']","['  Cocina 2  ', '  Balcón 1  ', '  Estacionamiento +5  ']"
JQMHOAF,INVERSION: CASA CON INQUILINO PRODUCIENDO RENTA EN PORTAL DEL BOSQUE EN CIRCUITO CERRADO, residencial los robles,"
                                       $ 145,000                                                                              ","['   Habitaciones3  ', '   Baños2.5  ']","['  Amueblado No  ', '  Cocina 1  ', '  Estacionamiento 2  ']"
XPSPUP2,SE VENDE CASA EN EL SAUCE NUEVA CON PISCINA, Residencial El Sauce,"
                                       $ 927,225                                                                              ","['   Habitaciones5  ', '  Área750 m2 ']",[]
SNVFAIS,ESTRATEGICA PROPIEDAD DE 7053 V2 CON PRECIOSA VISTA EN TEGUCIGALPA, Tegucigalpa,"
                                       $ 2,250,000                                                                              ",['  Área1410 m2 '],['  Amueblado No  ']
3D3TGP7,CASA EN VENTA EN EL HATILLO TOTALMENTE REMODELADA 4 HABITACIONES DE UN SOLO NIVEL, El Hatillo,"
                                       $ 466,432                                                                              ","['   Habitaciones4  ', '   Baños3.5  ', '  Área580 m2 ']",[]
UFZ3YBJ,CASA EN VENTA ACOGEDORA Y NITIDA PRIVADA CON HERMOSO JARDIN Y AREAS SOCIALES - EL HATILLO, El Hatillo,"
                                       $ 480,000                                                                              ","['   Habitaciones4  ', '   Baños3.5  ', '  Área410.85 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Estacionamiento 4  ']"
TNP468P,CASA EN VENTA EN TEGUCIGALPA EN CIRCUITO CERRADO, Tegucigalpa,"
                                       $ 297,286                                                                              ","['   Habitaciones3  ', '   Baños2.5  ', '  Área230 m2 m2 ']","['  Amueblado No  ', '  Cocina 1  ', '  Estacionamiento 2  ']"
