location,usd_price,bedrooms,bathrooms,surface_m²,parking
Residencial Roble Oeste,113328.0,3,4.0,145.0,0.0
Residencial Altos del Trapiche,94783.0,3,2.0,80.0,1.0
Residencial Santa Cruz,147889.0,4,3.0,148.0,1.0
Residencial Santa Cruz,142585.0,3,2.0,142.0,2.0
3Q55+Q7F,200.0,3,3.0,280.0,2.0
Tegucigalpa,39150.0,4,2.0,139.0,1.0
Residencial Altos del Trapiche,94783.0,3,2.0,85.0,1.0
Residencial Altos del Trapiche,126721.0,3,2.0,180.0,0.0
Residencial Altos del Trapiche,82008.0,3,2.0,85.0,0.0
Hacienda Real,42446.0,3,2.0,74.0,2.0
Residencial Honduras,66966.0,3,3.0,72.0,0.0
Colonia Jardines de Toncontín,45331.0,2,1.0,300.0,0.0
Colonia Cerro Grande,74178.0,4,2.0,284.0,0.0
Villa Real,94783.0,3,3.0,120.0,0.0
Colonia Los Angeles,37089.0,3,1.0,85.0,0.0
La Cañada,61815.0,3,3.0,155.0,2.0
Tegucigalpa,61815.0,4,2.0,80.0,1.0
Tegucigalpa,61815.0,3,2.0,125.0,2.0
Colonia Villa los Laureles,107146.0,3,2.0,130.0,2.0
Barrio El Manchen,86541.0,3,1.0,150.0,2.0
Tegucigalpa,82008.0,3,2.0,85.0,2.0
Colonia Cerro Grande,30908.0,3,1.0,100.0,0.0
Colonia Cerro Grande,37089.0,3,2.0,78.0,0.0
El Hatillo,640000.0,4,3.0,900.0,0.0
El Hatillo,255256.0,5,3.0,545.0,4.0
Colonia Miraflores,123630.0,3,3.0,117.0,0.0
Tegucigalpa,618150.0,4,3.0,850.0,5.0
El Sauce,154538.0,3,4.0,230.0,0.0
El Sauce,221504.0,3,3.0,213.0,0.0
Residencial Altos del Trapiche,123630.0,3,3.0,150.0,0.0
Residencial Las Hadas,151700.0,3,3.0,178.0,0.0
Mirador Las Uvas,270000.0,4,4.0,444.0,2.0
Colonia Ciudad Nueva,226000.0,3,3.0,437.0,0.0
Colonia Lomas del Mayab,750000.0,3,3.0,450.0,3.0
Boulevard Morazán,260000.0,3,2.0,234.0,5.0
Colonia Lomas del Guijarro,342000.0,3,3.0,253.0,2.0
Colonia Tres Caminos,200000.0,6,5.0,209.0,2.0
Residencial Las Uvas,119509.0,3,3.0,131.0,0.0
Lomas de Toncontin,82420.0,5,3.0,115.0,0.0
Residencial Los Olivos,35441.0,2,1.0,50.0,0.0
Colonia El Manantial,41004.0,2,1.0,60.0,0.0
Colonia Centro América Oeste,32968.0,4,2.0,200.0,0.0
Boulevard Suyapa,35029.0,3,1.0,69.0,0.0
Colonia Lomas de Jacaleapa,49452.0,3,2.0,100.0,0.0
Barrio San Cristóbal,32968.0,3,1.0,80.0,0.0
Colonia Monseñor Fiallos,49035.0,3,3.0,70.0,1.0
Anillo Periférico,51513.0,2,1.0,126.0,0.0
"Residencial Los Girasoles 1, 2 y 3",76239.0,5,3.0,150.0,0.0
Residencial Centro América Este,94783.0,5,4.0,280.0,0.0
Colonia Villa Delmy,53573.0,3,2.0,90.0,0.0
Residencial Prados Universitarios,57694.0,3,2.0,72.0,0.0
Colonia Villa los Laureles,59755.0,3,2.0,98.0,0.0
Colonia El Hato,55634.0,3,2.0,104.0,0.0
Residencial Lomas de Nauvoo,74178.0,5,3.0,200.0,0.0
Colonia Modelo,156598.0,3,2.0,511.0,0.0
Distrito Central,107146.0,3,3.0,120.0,0.0
Portal del Bosque,232837.0,4,4.0,200.0,0.0
Barrio La Granja,165000.0,3,3.0,256.0,0.0
Colonia El Hatillo,463613.0,3,4.0,387.0,0.0
Villanueva,32968002.0,3,1.0,85.0,0.0
Colonia Jardines de Loarque,148000.0,3,2.0,362.0,4.0
Colonia Jardines de Loarque,131872.0,3,2.0,1010.0,0.0
Residencial Las Hadas,154538.0,3,2.0,193.0,0.0
Colonia Miramontes,216353.0,3,3.0,439.0,0.0
Lomas de Toncontin,97874.0,3,3.0,140.0,0.0
Colonia Los Robles,78299.0,3,2.0,300.0,0.0
Colonia Lomas del Guijarro  Sur,334831.0,3,3.0,440.0,0.0
Colonia Lomas del Guijarro  Sur,283319.0,3,4.0,240.0,0.0
Colonia Lomas del Mayab,144235.0,2,2.0,160.0,0.0
Villa Olimpica,61815.0,3,2.0,180.0,0.0
Colonia Florencia Norte,334831.0,3,3.0,489.0,0.0
Residencial Buena Vista,92723.0,3,3.0,175.0,0.0
Residencial Monte Verde,172567.0,3,3.0,170.0,0.0
Colonia Los Proceres,123630.0,3,3.0,120.0,0.0
Colonia El Dorado,90662.0,3,2.0,170.0,0.0
Tegucigalpa,240000.0,3,3.0,320.0,1.0
