,location,usd_price,bedrooms,bathrooms,surface_m²,parking
502,El Molino,345000.0,2.0,2.0,247.0,0.0
503,Lomas del Guijarro Sur,892500.0,4.0,6.0,988.0,4.0
504,Lomas del Guijarro,532000.0,5.0,5.0,448.0,8.0
506,Guadalupe,303767.0,5.0,4.0,246.0,2.0
507,La Hacienda,4500.0,4.0,4.0,700.0,4.0
508,Lomas del Guijarro,600000.0,4.0,4.5,375.0,2.0
509,El Hatillo,550000.0,3.0,3.5,560.0,4.0
510,Lara,490000.0,5.0,4.5,579.0,3.0
512,El Hatillo,7000.0,4.0,5.5,400.0,8.0
513,Lomas del Mayab,635000.0,4.0,4.0,456.0,0.0
514,San Ignacio,930000.0,4.0,4.0,550.0,0.0
517,Godoy,190000.0,4.0,4.5,352.0,2.0
518,Los Angeles,350000.0,4.0,4.0,340.0,0.0
520,Alameda,162010.0,3.0,2.5,220.0,6.0
523,Plaza,158000.0,6.0,5.5,120.0,2.0
524,Tepeyac,689000.0,5.0,4.5,390.0,4.0
527,Miramontes,325000.0,4.0,2.5,310.0,2.0
528,Lomas del Guijarro,720000.0,4.0,4.5,631.0,4.0
531,Las Uvas,275000.0,4.0,4.5,400.0,2.0
532,La Hacienda,1200000.0,4.0,5.5,600.0,4.0
533,Las Hadas,185000.0,3.0,3.5,130.0,1.0
534,Las Hadas,235000.0,4.0,4.5,190.0,2.0
535,15 de Septiembre,410000.0,4.0,2.5,359.0,3.0
536,Santa Lucía,201000.0,3.0,3.5,997.0,2.0
537,El Hatillo,700000.0,3.0,4.5,650.0,4.0
538,Tepeyac,3300.0,5.0,4.5,670.0,5.0
539,El Jícaro,35000.0,3.0,2.0,140.0,10.0
540,San Ignacio,410000.0,3.0,3.5,392.0,2.0
541,Lomas del Guijarro,420000.0,3.0,3.5,255.0,2.0
542,15 de Septiembre,300000.0,5.0,3.5,400.0,4.0
544,Miramontes,700000.0,5.0,3.5,936.0,2.0
545,El Hatillo,5000.0,4.0,6.0,1180.280000000001,10.0
546,Taulabé,200000.0,3.0,4.5,290.0,4.0
547,El Hatillo,450000.0,6.0,4.5,590.0,6.0
548,La Cumbre,250000.0,3.0,3.5,234.0,2.0
549,Santa Lucía,240000.0,3.0,3.5,298.0,6.0
551,San Ignacio,330000.0,3.0,3.5,250.0,2.0
552,San Carlos,285000.0,3.0,3.5,280.0,2.0
553,San Ignacio,980.0,3.0,3.5,170.0,2.0
554,El Molino,1250.0,4.0,4.5,510.0,3.0
555,Lomas del Guijarro,295000.0,3.0,3.5,283.0,2.0
556,San Ignacio,375000.0,4.0,3.5,375.0,3.0
557,San Ignacio,1452000.000000001,4.0,4.5,810.0,4.0
558,El Hatillo,450000.0,4.0,4.5,266.0,6.0
559,La Cumbre,230000.0,3.0,2.5,230.0,2.0
561,Lomas del Guijarro,365000.0,3.0,3.5,450.0,0.0
562,Lomas del Mayab,420000.0,3.0,3.5,311.0,4.0
563,El Hatillo,550000.0,4.0,4.5,564.0,10.0
565,El Chimbo,325000.0,3.0,2.5,1178.0,4.0
567,Florencia Sur,550000.0,4.0,4.5,400.0,2.0
568,San Ignacio,1155000.0,4.0,4.5,500.0,7.0
570,Florencia Norte,495000.0,4.0,4.5,450.0,4.0
571,El Hatillo,550000.0,4.0,4.5,648.0,10.0
573,El Hatillo,600000.0,3.0,2.5,527.0,4.0
574,Loma Linda,480000.0,3.0,3.5,600.0,0.0
575,Loma Linda Norte,360000.0,3.0,3.5,470.0,3.0
576,El Hatillo,558500.0,3.0,4.5,602.0,10.0
577,Castaños Sur,2000.0,7.0,4.0,450.0,10.0
580,El Hatillo,450000.0,3.0,3.5,475.0,5.0
581,Lomas del Guijarro,750000.0,3.0,3.5,410.0,2.0
582,Lomas del Guijarro,650000.0,4.0,4.5,875.0,4.0
583,Las Casitas,570000.0,3.0,3.5,400.0,6.0
584,Lomas del Guijarro,900000.0,4.0,3.5,400.0,2.0
585,Lomas del Guijarro,1452000.000000001,3.0,3.5,400.0,4.0
586,El Trapiche,850000.0,5.0,6.0,600.0,6.0
587,Lomas del Guijarro Sur,450000.0,3.0,3.5,290.0,3.0
588,El Chimbo,450000.0,4.0,3.5,600.0,0.0
591,Lomas del Guijarro,375000.0,3.0,2.5,440.0,2.0
592,El Hatillo,345000.0,4.0,4.5,500.0,5.0
593,Castaños Sur,288000.0,3.0,2.0,269.0,3.0
595,Lomas del Mayab,635000.0,4.0,4.5,456.0,2.0
596,Florencia Norte,600000.0,4.0,5.0,526.0,4.0
598,Lomas del Guijarro,500000.0,4.0,4.5,300.0,4.0
600,Las Minitas,325000.0,3.0,2.0,222.0,5.0
601,Lomas del Guijarro,892500.0,4.0,5.5,980.0,4.0
602,Villas del Real,78000.0,3.0,2.5,108.0,2.0
603,Agua Dulce,192370.0,3.0,2.5,120.0,2.0
604,Agua Dulce,201955.0,3.0,2.5,141.0,2.0
605,Agua Dulce,218512.0,3.0,2.5,159.0,2.0
606,Las Hadas,170000.0,3.0,2.5,223.0,2.0
607,Castaños Sur,300000.0,3.0,3.5,300.0,2.0
608,Kennedy,137000.0,4.0,2.0,250.0,1.0
609,Florencia Sur,397000.0,3.0,2.5,277.0,3.0
610,Modelo,160000.0,4.0,3.0,220.0,2.0
611,Miramontes,208000.0,3.0,2.0,250.0,2.0
612,Tres Caminos,606585.0,3.0,2.5,404.0,3.0
613,El Hatillo,320000.0,4.0,3.5,390.0,6.0
614,Santa Lucía,275000.0,4.0,4.5,423.0,0.0
615,San Ignacio,350000.0,4.0,3.0,275.0,0.0
616,San Ignacio,1200000.0,3.0,3.5,783.0,4.0
617,Lomas del Guijarro,650000.0,5.0,5.5,604.0,0.0
618,La Reforma,430000.0,4.0,4.0,338.0,4.0
619,Lomas del Mayab,3000.0,4.0,3.5,600.0,4.0
620,Tres Caminos,495000.0,5.0,3.5,720.0,8.0
621,Rubén Darío,450000.0,4.0,4.5,480.0,0.0
622,Anillo Periférico,124000.0,3.0,2.5,107.0,2.0
623,Tepeyac,800000.0,3.0,5.0,600.0,0.0
624,Lomas del Mayab,550000.0,5.0,5.5,418.0,4.0
625,Palmira,499000.0,3.0,2.5,483.0,2.0
626,El Chimbo,245000.0,3.0,1.5,290.0,4.0
627,El Chimbo,82000.0,2.0,1.0,70.0,2.0
629,Villa Vieja,125000.0,3.0,2.5,155.0,0.0
630,Guanacaste,113499.0,5.0,4.0,300.0,1.0
631,El Hatillo,630000.0,3.0,3.5,550.0,6.0
632,Roble Oeste,164000.0,3.0,3.0,161.0,2.0
634,Florencia Norte,600000.0,3.0,3.5,400.0,0.0
635,Los Angeles,600000.0,3.0,3.5,620.0,2.0
636,Las Hadas,386000.0,3.0,2.0,420.0,2.0
638,Loma Linda Norte,750000.0,5.0,5.5,603.0,0.0
639,Miramontes,190000.0,3.0,2.5,232.0,2.0
640,La Granja,185000.0,4.0,2.5,239.0,0.0
641,San Ignacio,850000.0,3.0,4.5,650.0,5.0
642,Lomas del Guijarro,4000.0,4.0,5.5,630.0,8.0
643,Las Colinas,135000.0,5.0,3.0,220.0,1.0
644,Las Torres,330000.0,3.0,3.5,300.0,5.0
645,Lomas del Guijarro,210000.0,3.0,1.5,188.0,1.0
647,El Hatillo,300000.0,2.0,2.5,280.0,0.0
648,La Cumbre,649087.0,4.0,3.5,585.0,2.0
649,Lomas del Guijarro,395000.0,4.0,3.5,625.0,4.0
652,Las Hadas,260000.0,5.0,4.5,356.0,3.0
654,Maradiaga,330000.0,3.0,2.5,659.0,2.0
655,Guadalupe,310500.0,3.0,3.0,210.0,0.0
656,Los Angeles,450000.0,4.0,4.0,510.0,5.0
657,Loma Linda Norte,500000.0,4.0,4.5,350.0,4.0
658,Lomas del Mayab,420000.0,3.0,2.5,399.0,3.0
659,Lomas del Country,180000.0,4.0,4.5,352.0,1.0
660,Las Hadas,200000.0,3.0,2.5,220.0,3.0
661,San Ignacio,973000.0,3.0,3.5,793.0,4.0
662,Villa Elena,455000.0,3.0,3.5,516.0,1.0
663,El Hatillo,390000.0,4.0,3.5,437.0,0.0
665,La Reforma,280000.0,5.0,3.5,489.0,0.0
666,Modelo,240000.0,3.0,2.5,305.0,0.0
668,San Ignacio,1450000.0,4.0,5.0,770.0,4.0
669,El Hatillo,1200000.0,6.0,6.0,1000.0,6.0
670,Viera,1452000.000000001,5.0,6.0,1118.0,6.0
671,El Hatillo,580000.0,4.0,3.5,788.0,6.0
673,Avenida La Paz,750000.0,3.0,3.5,591.0,4.0
674,Lomas del Guijarro,450000.0,3.0,3.0,525.0,0.0
675,El Hatillo,600000.0,4.0,4.5,1047.0,8.0
676,Lomas del Guijarro,600000.0,4.0,4.5,490.0,4.0
677,Castaños Sur,310000.0,4.0,3.5,290.0,2.0
678,Lomas del Guijarro,392000.0,3.0,3.5,305.0,2.0
679,Lara Norte,300000.0,2.0,2.5,651.0,2.0
682,Los Angeles,350000.0,4.0,4.5,660.0,0.0
683,Las Hadas,240000.0,4.0,4.5,300.0,3.0
687,Santa Lucía,500000.0,3.0,3.5,635.0,10.0
690,San Juan,48500.0,2.0,1.0,68.64,2.0
691,El Pedregal,700000.0,5.0,6.0,900.0,3.0
694,El Recreo,75000.0,3.0,2.0,79.0,2.0
697,La Loma,315000.0,3.0,2.5,400.0,10.0
702,Santa Lucía,270000.0,4.0,4.0,375.0,0.0
704,El Molino,990000.0,4.0,5.5,333.0,0.0
